MF: initial setting 0
diff_p:0.392364 diff_q:0.404019 diff:0.796383 step40 L:18589.1
diff_p:0.386448 diff_q:0.399693 diff:0.78614 step41 L:18274.3
diff_p:0.380704 diff_q:0.39541 diff:0.776113 step42 L:17967.1
diff_p:0.375118 diff_q:0.391165 diff:0.766283 step43 L:17667.3
diff_p:0.36968 diff_q:0.386954 diff:0.756634 step44 L:17374.8
diff_p:0.364378 diff_q:0.382774 diff:0.747152 step45 L:17089.2
diff_p:0.359204 diff_q:0.378624 diff:0.737828 step46 L:16810.5
diff_p:0.35415 diff_q:0.374502 diff:0.728653 step47 L:16538.4
diff_p:0.34921 diff_q:0.37041 diff:0.71962 step48 L:16272.8
diff_p:0.344378 diff_q:0.366346 diff:0.710724 step49 L:16013.4
diff_p:0.339649 diff_q:0.362312 diff:0.701961 step50 L:15760.2
diff_p:0.33502 diff_q:0.358308 diff:0.693328 step51 L:15513
error = 15574.9, step = 51
MF: initial setting 2
diff_p:33.1975 diff_q:32.02 diff:65.2176 step0 L:178602
diff_p:5.04835 diff_q:6.43391 diff:11.4823 step1 L:107460
diff_p:3.14508 diff_q:4.01843 diff:7.1635 step2 L:79150.5
diff_p:2.34574 diff_q:2.83165 diff:5.17738 step3 L:64689.2
